Religious,No. of hours,Theatre,Shopping,sports,class
99.34,4.128,95.064,104.88,85.99,2
99.34,4.16,95.08,104.76,85.99,3
98.99,4.16,95.08,104.76,84.76,3
98.99,4.896,95.448,104.23,84.52,4
98.952,5.28,95.64,104.23,84.52,0
98.76,5.472,95.736,103.92,84.34,3
98.568,6.144,96.072,103.64,84.34,3
98.472,6.624,96.312,103.4,82.84,2
98.208,6.78,85.88,103.16,82.34,1
98.088,6.78,85.88,102.92,82.34,1
97.968,6.784,96.392,102.84,82.28,2
97.608,6.944,96.472,102.84,81.8,3
97.104,7.296,96.648,102.8,81.32,0
96.96,7.424,96.712,102.8,80.99,2
96.78,7.68,96.84,102.52,80.99,3
96.78,7.936,96.968,102.34,80.84,3
96.672,8.048,92.072,102.34,80.68,3
96.55,8.096,92.144,102.08,80.68,3
96.55,8.112,92.168,101.92,80.6,0
96.12,8.112,92.168,101.34,80.6,0
96.12,8.128,92.192,101.34,80.54,0
96.096,8.128,92.192,101.2,80.54,0
95.696,8.192,92.288,101.2,80.04,1
95.67,8.32,92.48,101,79.45,4
95.67,8.32,92.48,100.84,79.45,4
95.66,8.45,85.99,100.84,79.16,4
95.66,8.45,90.77,100.77,78.84,0
95.536,8.45,85.99,100.77,77.64,4
95.344,8.45,90.77,100.72,77.64,0
95.296,8.48,92.72,100.56,77.4,2
95.216,8.48,92.72,100.45,77.4,2
94.976,8.704,93.056,100.45,77.23,0
94.976,8.704,93.056,100.32,77.23,0
94.784,8.72,93.08,100.24,77,0
94.784,8.736,93.104,100,76.68,1
94.736,8.784,93.176,100,76.68,1
94.72,8.784,93.176,99.92,76.44,1
94.704,8.976,93.464,99.45,76.12,2
94.704,8.976,93.464,99.45,75.64,2
94.48,9.11,91.89,99.4,75.48,2
94.48,9.11,91.89,99.28,75,2
94.32,9.216,93.824,99.16,75,4
94.32,9.296,93.944,99.16,74.84,4
94.192,9.34,87.84,98.54,73.8,2
94.128,9.34,87.84,98.54,73.56,2
94.128,9.344,94.016,98.36,73.32,4
94.112,9.44,91.56,98.36,73.32,1
94.112,9.44,91.56,98.32,72.34,1
94.096,9.536,94.304,97.68,72.34,3
94.048,9.696,94.544,97.52,71.72,3
93.92,9.98,94.34,97.24,71.72,0
93.92,9.98,94.34,97.23,71.64,0
93.856,10,90,97.23,70.36,2
93.728,10.048,90.048,97.2,70.04,1
93.696,10.096,90.096,97.2,69.48,1
93.696,10.144,90.144,96.34,69.45,3
93.57,10.144,90.144,96.34,69.45,3
93.57,10.16,90.16,95.36,69.4,3
93.568,10.208,90.208,94.99,69.4,0
93.536,10.224,90.224,94.99,67.44,0
93.52,10.224,90.224,94.6,67.44,0
93.52,10.23,92.34,94.6,65.72,0
93.45,10.23,92.34,94.55,65.34,0
93.45,10.288,90.288,94.55,65.34,0
93.328,10.32,90.32,94.28,64.8,4
93.23,10.32,90.32,93.64,64.8,4
93.23,10.45,89.18,93.48,64.64,1
92.976,10.45,89.18,93.48,64.32,1
92.832,10.512,90.512,92.84,64.24,0
92.832,10.512,90.512,92.68,64.24,0
92.8,10.56,90.56,92.6,63.92,3
92.8,10.8,90.8,92.6,63.84,1
92.56,10.8,90.8,91.64,63.8,1
92.512,10.832,90.832,91.23,63.8,3
92.512,10.832,90.832,91.23,63.32,3
92.45,10.976,90.976,89.88,62.44,0
92.45,11.328,91.328,89.16,62.08,1
92.32,11.52,91.52,89.16,62.08,3
92.32,11.52,91.52,89,62,3
92.288,11.536,91.536,89,62,4
92.224,11.568,91.568,88.34,61.45,3
92.224,11.696,91.696,88.34,61.45,3
92.208,11.696,91.696,87.98,61.4,3
92.16,11.728,91.728,87.98,61.28,4
92.144,11.856,91.856,87.8,61.28,1
92.144,11.92,91.92,87.56,61.23,1
92.096,11.92,91.92,87.56,61.23,1
92.048,12.34,83.56,86.78,61.22,0
92,12.34,83.56,86.78,61.22,0
91.968,12.36,88.144,86.6,60.8,3
91.76,14.2,88.88,86.6,60.8,4
91.712,14.2,88.88,86.44,60.72,4
91.664,14.24,88.896,86.12,60.56,2
91.664,14.33,90.23,86.12,60.56,3
91.45,14.33,90.23,86.04,60.52,3
91.45,14.52,89.008,85.8,60.4,3
91.344,14.68,89.072,85.72,60.36,2
91.344,14.99,90.54,85.72,60.36,1
91.328,14.99,90.12,85.48,60.24,3
91.23,14.99,90.54,85.34,60.12,1
91.23,14.99,91.23,85.34,60,3
91.072,15.32,91.23,85.24,59.24,4
91.008,15.36,90.65,85,58.84,3
90.896,15.36,90.65,84.24,58.36,3
90.88,15.43,90.12,83.84,58.24,2
90.88,15.43,89.968,83.36,58.04,2
90.55,15.54,89.76,83.24,57.44,2
90.55,15.54,89.712,83.04,57.44,2
90.144,16.16,89.664,82.44,56.98,4
89.88,16.16,89.664,82.44,56.98,4
89.76,16.28,89.344,81.96,56.96,4
