Religious,Nature,Theatre,Shopping,Picnic,Sports
77,79,69,68,95,2
62,76,76,69,68,2
50,97,87,50,75,2
68,77,95,76,61,2
98,54,59,95,86,2
52,109,93,52,76,2
64,85,82,73,69,2
54,107,92,54,76,2
64,108,64,54,93,4
86,76,74,74,103,4
107,54,64,103,94,4
103,60,63,102,93,4
64,82,82,75,69,4
93,54,74,103,69,4
63,82,81,78,69,4
82,79,75,75,82,4
59,131,103,54,86,4
56,124,108,56,85,4
85,67,111,65,72,5
114,83,65,114,102,5
93,82,79,79,90,5
105,52,75,113,78,5
69,118,74,66,101,5
71,123,64,59,102,5
88,94,81,79,91,5
83,99,89,74,91,5
69,133,74,54,101,5
128,53,74,117,105,5
74,123,69,61,101,5
79,93,118,90,72,5
