Religious,Nature,Theatre,Shopping,Picnic,Sports
77,79,69,68,95,2
62,76,76,69,68,2
50,97,87,50,75,2
68,77,95,76,61,2
98,54,59,95,86,2
52,109,93,52,76,2
64,85,82,73,69,2
54,107,92,54,76,2
64,108,64,54,93,2
86,76,74,74,103,2
107,54,64,103,94,2
103,60,63,102,93,2
64,82,82,75,69,2
93,54,74,103,69,2
63,82,81,78,69,2
82,79,75,75,82,2
59,131,103,54,86,2
56,124,108,56,85,2
85,67,111,65,72,2
114,83,65,114,102,2
93,82,79,79,90,2
105,52,75,113,78,2
69,118,74,66,101,2
71,123,64,59,102,2
88,94,81,79,91,2
83,99,89,74,91,2
69,133,74,54,101,2
128,53,74,117,105,2
74,123,69,61,101,2
79,93,118,90,72,2
51,115,110,51,84,2
69,93,93,81,79,2
100,53,86,112,78,2
88,69,108,71,77,2
93,84,75,84,112,2
79,86,110,93,73,2
87,72,112,63,71,2
65,128,79,56,101,2
91,66,110,69,71,2
93,79,74,92,90,2
59,118,108,63,85,2
65,103,90,80,79,2
87,89,76,89,111,2
93,85,79,85,91,2
93,94,79,79,113,2
74,130,74,53,101,2
118,59,69,119,97,2
101,61,76,113,78,2
88,99,79,83,114,2
74,87,87,79,79,2
148,59,104,208,119,2
93,89,74,89,93,2
79,103,68,103,85,2
76,92,111,90,71,2
94,140,89,118,92,2
108,109,89,89,143,2
98,89,133,79,79,2
84,118,102,94,90,2
138,74,79,143,118,2
74,109,103,89,88,2
118,104,94,94,118,2
94,128,89,128,99,2
64,155,118,64,97,2
84,108,138,103,79,2
108,109,94,99,138,2
89,108,128,116,81,2
103,79,148,74,79,2
103,109,99,89,108,2
108,99,94,94,138,2
108,109,104,79,133,2
138,59,84,138,128,2
79,143,113,69,109,2
84,153,79,64,113,2
74,148,118,64,104,2
74,153,118,59,99,2
118,64,101,133,92,2
69,153,113,59,99,2
123,68,89,128,90,2
99,104,128,64,78,2
124,59,84,143,88,2
84,131,128,93,81,2
113,64,89,141,86,2
118,64,99,134,88,2
89,143,84,64,118,2
98,89,133,69,79,2
98,104,109,91,101,2
84,143,74,74,133,4
123,64,93,148,90,4
84,113,141,98,81,4
59,148,125,59,97,4
143,69,79,143,123,4
94,133,84,125,97,4
84,108,113,93,90,4
84,138,89,69,123,4
84,108,133,98,81,4
99,84,138,69,83,4
113,94,84,109,128,4
148,64,74,138,128,4
