Religious,No. of hours,Theatre,Shopping,sports,class
99.34,4.128,95.064,104.88,50.16,2
99.34,4.16,95.08,104.76,50.2,3
98.99,4.16,95.08,104.76,50.2,3
98.99,4.896,95.448,104.23,51.12,4
98.952,5.28,95.64,104.23,51.6,0
98.76,5.472,95.736,103.92,51.84,3
98.568,6.144,96.072,103.64,52.68,3
98.472,6.624,96.312,103.4,53.28,2
98.208,6.78,85.88,103.16,77.23,1
98.088,6.78,85.88,102.92,77.23,1
97.968,6.784,96.392,102.84,53.48,2
97.608,6.944,96.472,102.84,53.68,3
97.104,7.296,96.648,102.8,54.12,0
96.96,7.424,96.712,102.8,54.28,2
96.78,7.68,96.84,102.52,54.6,3
96.78,7.936,96.968,102.34,54.92,3
96.672,8.048,92.072,102.34,55.12,3
96.55,8.096,92.144,102.08,55.24,3
96.55,8.112,92.168,101.92,55.28,0
96.12,8.112,92.168,101.34,55.28,0
96.12,8.128,92.192,101.34,55.32,0
96.096,8.128,92.192,101.2,55.32,0
95.696,8.192,92.288,101.2,55.48,1
95.67,8.32,92.48,101,55.8,4
95.67,8.32,92.48,100.84,55.8,4
95.66,8.45,85.99,100.84,65.34,4
95.66,8.45,90.77,100.77,72.34,0
95.536,8.45,85.99,100.77,65.34,4
95.344,8.45,90.77,100.72,72.34,0
95.296,8.48,92.72,100.56,56.2,2
95.216,8.48,92.72,100.45,56.2,2
94.976,8.704,93.056,100.45,56.76,0
94.976,8.704,93.056,100.32,56.76,0
94.784,8.72,93.08,100.24,56.8,0
94.784,8.736,93.104,100,56.84,1
94.736,8.784,93.176,100,56.96,1
94.72,8.784,93.176,99.92,56.96,1
94.704,8.976,93.464,99.45,57.44,2
94.704,8.976,93.464,99.45,57.44,2
94.48,9.11,91.89,99.4,80.99,2
94.48,9.11,91.89,99.28,80.99,2
94.32,9.216,93.824,99.16,58.04,4
94.32,9.296,93.944,99.16,58.24,4
94.192,9.34,87.84,98.54,56.98,2
94.128,9.34,87.84,98.54,56.98,2
94.128,9.344,94.016,98.36,58.36,4
94.112,9.44,91.56,98.36,69.45,1
94.112,9.44,91.56,98.32,69.45,1
94.096,9.536,94.304,97.68,58.84,3
94.048,9.696,94.544,97.52,59.24,3
93.92,9.98,94.34,97.24,82.34,0
93.92,9.98,94.34,97.23,82.34,0
93.856,10,90,97.23,60,2
93.728,10.048,90.048,97.2,60.12,1
93.696,10.096,90.096,97.2,60.24,1
93.696,10.144,90.144,96.34,60.36,3
93.57,10.144,90.144,96.34,60.36,3
93.57,10.16,90.16,95.36,60.4,3
93.568,10.208,90.208,94.99,60.52,0
93.536,10.224,90.224,94.99,60.56,0
93.52,10.224,90.224,94.6,60.56,0
93.52,10.23,92.34,94.6,84.34,0
93.45,10.23,92.34,94.55,84.34,0
93.45,10.288,90.288,94.55,60.72,0
93.328,10.32,90.32,94.28,60.8,4
93.23,10.32,90.32,93.64,60.8,4
93.23,10.45,89.18,93.48,85.99,1
92.976,10.45,89.18,93.48,85.99,1
92.832,10.512,90.512,92.84,61.28,0
92.832,10.512,90.512,92.68,61.28,0
92.8,10.56,90.56,92.6,61.4,3
92.8,10.8,90.8,92.6,62,1
92.56,10.8,90.8,91.64,62,1
92.512,10.832,90.832,91.23,62.08,3
92.512,10.832,90.832,91.23,62.08,3
92.45,10.976,90.976,89.88,62.44,0
92.45,11.328,91.328,89.16,63.32,1
92.32,11.52,91.52,89.16,63.8,3
92.32,11.52,91.52,89,63.8,3
92.288,11.536,91.536,89,63.84,4
92.224,11.568,91.568,88.34,63.92,3
92.224,11.696,91.696,88.34,64.24,3
92.208,11.696,91.696,87.98,64.24,3
92.16,11.728,91.728,87.98,64.32,4
92.144,11.856,91.856,87.8,64.64,1
92.144,11.92,91.92,87.56,64.8,1
92.096,11.92,91.92,87.56,64.8,1
92.048,12.34,83.56,86.78,67.44,0
92,12.34,83.56,86.78,67.44,0
91.968,12.36,88.144,86.6,65.72,3
91.76,14.2,88.88,86.6,69.4,4
91.712,14.2,88.88,86.44,69.4,4
91.664,14.24,88.896,86.12,69.48,2
91.664,14.33,90.23,86.12,80.54,3
91.45,14.33,90.23,86.04,80.54,3
91.45,14.52,89.008,85.8,61.22,3
91.344,14.68,89.072,85.72,61.22,2
91.344,14.99,90.54,85.72,61.23,1
91.328,14.99,90.12,85.48,61.23,3
91.23,14.99,90.54,85.34,61.45,1
91.23,14.99,91.23,85.34,61.45,3
91.072,15.32,91.23,85.24,70.04,4
91.008,15.36,90.65,85,70.36,3
90.896,15.36,90.65,84.24,71.64,3
90.88,15.43,90.12,83.84,71.72,2
90.88,15.43,89.968,83.36,71.72,2
90.55,15.54,89.76,83.24,73.32,2
90.55,15.54,89.712,83.04,73.32,2
90.144,16.16,89.664,82.44,73.56,4
89.88,16.16,89.664,82.44,73.8,4
89.76,16.28,89.344,81.96,74.84,4
89.76,16.4,89.344,81.96,75,0
89.59,16.92,89.328,81.84,75,3
89.59,17,87.856,81.8,75.48,2
89.4,17,87.712,81.76,75.64,2
89.4,17.096,87.712,81.76,76.12,1
88.92,17.128,86.704,81.2,76.44,3
88.64,17.224,86.368,81.2,76.68,2
88.4,17.288,86.08,80.8,76.68,1
88.16,17.336,85.792,80.8,77,2
87.92,17.336,85.504,80.48,77.4,2
87.84,17.4,85.43,80.32,77.4,2
87.84,17.43,85.43,80.32,77.64,4
87.8,17.43,85.408,80.28,77.64,4
87.8,17.48,85.408,80.28,78.84,3
87.55,17.48,85.36,80.24,79.16,3
87.55,17.768,85.36,80.12,79.45,1
87.52,17.832,85.024,79.68,79.45,3
87.08,18.008,84.496,78.4,80.04,4
86.92,18.12,84.304,77.12,80.6,1
86.2,18.12,83.44,76.48,80.6,1
86.2,18.136,83.44,74.72,80.68,3
86,18.136,83.2,73.92,80.68,3
85.84,18.168,83.008,73.12,80.84,4
85.84,18.264,83.008,70.72,81.32,1
85.72,18.36,82.864,67.36,81.8,0
85.56,18.456,82.672,66.4,82.28,4
85.32,18.568,82.384,64.48,82.84,4
85.24,18.904,82.288,60.8,84.52,2
85,18.904,82,60.8,84.52,2
85,18.952,82,60.64,84.76,0
