Country,RC,CW,CF,TA,WD,FA
2,11.11,16.24,1.69,0.729,1.08,4.565
2,14.15,12.22,3.32,0.211,1.1,4.879
2,12.43,15.43,1.25,0.532,1.26,5.434
2,12.33,16.23,1.61,0.724,1.44,5.443
2,13.15,12.43,1.03,0.465,1.52,5.665
2,10.25,16.46,1.64,0.898,1.62,5.765
2,10.95,12.54,2,0.656,1.68,5.333
2,10.12,13.05,2.94,0.324,2.22,4.358
2,10.22,17.36,3.22,0.239,2.22,6.537
2,11.23,17.23,1.77,0.199,2.44,4.563
2,13.54,17.66,1.45,0.568,3.5,4.322
2,15.49,14.98,1.32,0.336,3.52,4.222
2,14.34,13.45,0.83,0.473,3.62,4.546
2,10.03,11.22,1.13,0.467,3.62,4.543
2,15.27,17.53,1.73,0.761,3.92,5.776
2,14.01,11.23,1.74,0.237,3.98,4.876
4,14.62,14.21,2.45,0.916,2.9,5.666
4,15.29,15.42,2.29,0.5333,3.21,4.332
4,14.25,12.11,2.52,0.654,3.22,6.543
4,15.19,13.88,2.24,0.566,3.92,7.019
4,14.35,15.81,2.49,0.905,3.98,6.59
4,14.28,17.27,1.7,0.152,4.06,7.659
4,20.02,15.45,3.62,0.985,4.12,6.547
4,20.21,12.31,1.57,0.854,4.24,7.389
4,15.58,17.25,1.27,0.732,4.26,7.624
4,15.79,15.81,1.81,0.833,4.26,5.679
4,14.56,12.32,1.57,0.859,4.32,4.321
4,15.48,12.56,2.74,0.234,4.32,4.012
4,16.19,16.23,2.81,0.651,4.32,5.074
4,15.51,15.98,3.36,0.542,4.32,5.023
4,20.15,12.21,1.45,0.855,4.44,7.798
4,14.32,16.34,1.36,0.788,4.54,6.781
4,16.31,12.33,2.57,0.767,4.56,6.79
4,20.17,14.87,2.88,0.238,4.9,5.066
4,16.08,14.09,2.49,0.631,4.98,6.99
4,15.86,14.76,1.51,0.851,5.1,5.79
4,15.21,15.32,2.2,0.612,5.1,5.921
4,14.67,15.87,1.18,0.872,5.12,4.387
4,17.55,15.07,1.59,0.677,5.12,7.093
4,14.21,17.02,1.38,0.543,5.22,5.832
5,15.31,16.27,2.44,0.909,4.3,5.054
5,18.44,11.55,3.02,0.781,4.32,7.043
5,19.32,14.32,4.05,0.436,4.51,5.056
5,20.07,11.01,3.39,0.545,4.55,5.873
5,17.87,17.04,3.48,0.323,4.99,6.022
5,20.23,16.12,3.25,0.762,5.02,7.654
5,19.41,15.23,3.32,0.933,5.11,6.012
5,20.54,16.89,3.06,0.989,5.31,5.99
5,13.55,15.22,2.21,0.946,5.66,4.532
5,18.92,15.46,2.6,0.456,6.12,5.077
5,16.17,14.77,3.2,0.434,6.32,6.066
5,18.65,15.88,3.25,0.321,6.44,6.038
5,15.63,15.66,2.37,0.832,6.11,5.021
5,15.93,16.48,2.69,0.908,6.94,5.007
