Religious,Nature,Theatre,Shopping,Picnic,Sports
77,79,69,68,95,2
62,76,76,69,68,2
50,97,87,50,75,2
68,77,95,76,61,2
98,54,59,95,86,2
52,109,93,52,76,2
64,85,82,73,69,2
54,107,92,54,76,2
64,108,64,54,93,2
86,76,74,74,103,2
107,54,64,103,94,2
103,60,63,102,93,2
64,82,82,75,69,2
93,54,74,103,69,2
63,82,81,78,69,2
82,79,75,75,82,2
59,131,103,54,86,2
56,124,108,56,85,2
85,67,111,65,72,4
114,83,65,114,102,4
93,82,79,79,90,4
105,52,75,113,78,4
69,118,74,66,101,4
71,123,64,59,102,4
88,94,81,79,91,4
83,99,89,74,91,4
69,133,74,54,101,4
128,53,74,117,105,4
74,123,69,61,101,4
79,93,118,90,72,4
51,115,110,51,84,4
69,93,93,81,79,4
100,53,86,112,78,4
88,69,108,71,77,5
93,84,75,84,112,5
79,86,110,93,73,5
87,72,112,63,71,5
65,128,79,56,101,5
91,66,110,69,71,5
93,79,74,92,90,5
59,118,108,63,85,5
65,103,90,80,79,5
87,89,76,89,111,5
93,85,79,85,91,5
