RC,CW,TA,WD,FA,Country
11.11,16.24,0.729,1.08,4.565,2
14.15,12.22,0.211,1.1,4.879,2
12.43,15.43,0.532,1.26,5.434,2
12.33,16.23,0.724,1.44,5.443,2
20.87,13.01,0.458,4.23,6.545,2
14.55,12.09,0.435,4.35,4.443,2
14.06,16.32,0.884,4.39,5.436,2
13.57,12.67,0.451,4.56,6.549,2
11.21,15.44,0.513,4.66,4.564,2
16.01,13.09,0.941,5.43,7.643,4
15.57,16.43,0.787,5.43,5.098,4
15.53,16.15,0.124,5.43,4.01,4
15.45,14.54,0.518,5.46,6.888,4
15.89,15.03,0.127,5.66,6.456,4
14.36,15.67,0.643,5.74,7.555,4
15.73,17.01,0.984,5.77,6.789,4
14.59,14.04,0.874,5.8,5.449,4
16.36,13.24,0.868,5.94,5.464,5
11.24,12.29,0.912,2.84,6.569,5
13.65,17.33,0.345,2.86,7.878,5
10.78,15.77,0.222,2.88,5.068,5
14.68,14.02,0.246,2.9,6.067,5
14.16,16.25,0.678,2.9,7.678,5
20.19,16.28,0.777,3.21,7.543,5
20.43,12.55,0.427,3.22,5.877,5
15.56,16.21,0.432,3.23,5.032,5
13.32,16.55,0.212,3.32,4.128,5
